title,author,first_pub_year,pages,edition_count,language,query_subject,source
The Iron Heel,Jack London,1907,287,597,eng,fiction,openlibrary_api
Brood of the Witch-Queen,Sax Rohmer,1924,206,194,eng,fiction,openlibrary_api
The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1838,203,392,heb,fiction,openlibrary_api
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,160,454,ita,fiction,openlibrary_api
Emily of New Moon,Lucy Maud Montgomery,1923,339,445,nor,fiction,openlibrary_api
The Vampyre,John William Polidori,1819,55,149,ita,fiction,openlibrary_api
The Sea Fairies,L. Frank Baum,1911,130,528,eng,fiction,openlibrary_api
The Enchanted Castle,Edith Nesbit,1907,186,478,eng,fiction,openlibrary_api
Pollyanna,"Eleanor Hodgman Porter, Porter",1912,194,552,eng,fiction,openlibrary_api
Игрокъ,Фёдор Михайлович Достоевский,1866,166,412,ita,fiction,openlibrary_api
Anne of the Island,Lucy Maud Montgomery,1915,232,781,swe,fiction,openlibrary_api
Lilith,George MacDonald,1895,270,480,eng,fiction,openlibrary_api
Le roman du masque de fer,Alexandre Dumas,1600,485,279,spa,fiction,openlibrary_api
Anthem,Ayn Rand,1936,98,103,eng,fiction,openlibrary_api
Tarzan of the Apes,Edgar Rice Burroughs,1912,286,226,eng,fiction,openlibrary_api
The Road to Oz,L. Frank Baum,1909,139,533,spa,fiction,openlibrary_api
The Canterville Ghost,Oscar Wilde,1887,93,138,alb,fiction,openlibrary_api
The food of the gods and how it came to earth,H. G. Wells,1900,300,194,por,fiction,openlibrary_api
Martin Eden,Jack London,1908,411,168,fin,fiction,openlibrary_api
The Last Man,Mary Shelley,1826,411,430,eng,fiction,openlibrary_api
Anne of Windy Poplars,Lucy Maud Montgomery,1936,258,310,chi,fiction,openlibrary_api
The blue castle,Lucy Maud Montgomery,1926,257,294,fre,fiction,openlibrary_api
Phantastes,George MacDonald,1850,196,472,por,fiction,openlibrary_api
Just So Stories,Rudyard Kipling,1922,113,245,eng,fiction,openlibrary_api
A Modern Utopia,H. G. Wells,1900,320,102,dut,fiction,openlibrary_api
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,98,560,eng,fiction,openlibrary_api
The King in Yellow,Robert W. Chambers,1895,228,479,ger,fiction,openlibrary_api
Jo's Boys,"Louisa May Alcott, Success Oceo",1886,328,597,und,fiction,openlibrary_api
Herland,"Charlotte Perkins Gilman, Alex Goody",1915,152,627,tur,fiction,openlibrary_api
Of Human Bondage,William Somerset Maugham,1915,589,407,jpn,fiction,openlibrary_api
The Power of Darkness,Edith Nesbit,2006,29,125,eng,fiction,openlibrary_api
Carmilla,Sheridan Le Fanu,1871,90,571,eng,fiction,openlibrary_api
Dorothy and the Wizard in Oz,L. Frank Baum,1908,134,622,pol,fiction,openlibrary_api
The Phoenix and the Carpet,Edith Nesbit,1903,174,438,ger,fiction,openlibrary_api
The Mystery of the Blue Train,Agatha Christie,1928,257,124,rus,fiction,openlibrary_api
Kim,Rudyard Kipling,1901,286,934,pol,fiction,openlibrary_api
Daddy-Long-Legs,Jean Webster,1912,196,299,per,fiction,openlibrary_api
The Man in the Brown Suit,Agatha Christie,1924,225,201,eng,fiction,openlibrary_api
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,221,425,spa,fiction,openlibrary_api
